flightNo,airline,departureAirport,arrivalAirport,flightType,aircraftType,plannedTime
CA1357,Air China,Beijing Capital,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T08:10
MU5532,China Eastern,Tianshu Airport,Shanghai Hongqiao,DEPARTURE,MEDIUM,2026-06-10T08:18
CZ3456,China Southern,Guangzhou Baiyun,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T08:25
HU7808,Hainan Airlines,Tianshu Airport,Shenzhen Baoan,DEPARTURE,LARGE,2026-06-10T08:33
MF8412,Xiamen Air,Xiamen Gaoqi,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T08:42
SC4886,Shandong Airlines,Tianshu Airport,Jinan Yaoqiang,DEPARTURE,SMALL,2026-06-10T08:50
CA8920,Air China,Kunming Changshui,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T09:02
ZH9101,Shenzhen Airlines,Tianshu Airport,Hangzhou Xiaoshan,DEPARTURE,MEDIUM,2026-06-10T09:10
3U8621,Sichuan Airlines,Chengdu Tianfu,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T09:22
FM9126,Shanghai Airlines,Tianshu Airport,Shanghai Pudong,DEPARTURE,MEDIUM,2026-06-10T09:34
GS7650,Tianjin Airlines,Tianjin Binhai,Tianshu Airport,ARRIVAL,SMALL,2026-06-10T09:46
JD5268,Beijing Capital Airlines,Tianshu Airport,Sanya Phoenix,DEPARTURE,MEDIUM,2026-06-10T09:58
CA1705,Air China,Beijing Capital,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T10:12
MU2159,China Eastern,Tianshu Airport,Xian Xianyang,DEPARTURE,MEDIUM,2026-06-10T10:24
CZ6739,China Southern,Changsha Huanghua,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T10:36
HU7265,Hainan Airlines,Tianshu Airport,Haikou Meilan,DEPARTURE,LARGE,2026-06-10T10:48
MF8031,Xiamen Air,Fuzhou Changle,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T11:00
SC2198,Shandong Airlines,Tianshu Airport,Qingdao Jiaodong,DEPARTURE,SMALL,2026-06-10T11:12
CA4527,Air China,Chongqing Jiangbei,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T11:24
ZH9872,Shenzhen Airlines,Tianshu Airport,Nanjing Lukou,DEPARTURE,MEDIUM,2026-06-10T11:36
3U8890,Sichuan Airlines,Tianshu Airport,Chengdu Shuangliu,DEPARTURE,MEDIUM,2026-06-10T12:05
MU5861,China Eastern,Kunming Changshui,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T12:18
CZ3920,China Southern,Tianshu Airport,Guangzhou Baiyun,DEPARTURE,LARGE,2026-06-10T12:30
CA7462,Air China,Harbin Taiping,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T12:42
HU6117,Hainan Airlines,Tianshu Airport,Beijing Capital,DEPARTURE,MEDIUM,2026-06-10T12:54
MF7259,Xiamen Air,Quanzhou Jinjiang,Tianshu Airport,ARRIVAL,SMALL,2026-06-10T13:06
SC3015,Shandong Airlines,Tianshu Airport,Yantai Penglai,DEPARTURE,SMALL,2026-06-10T13:18
CA2388,Air China,Lhasa Gonggar,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T13:30
ZH6206,Shenzhen Airlines,Tianshu Airport,Wuhan Tianhe,DEPARTURE,MEDIUM,2026-06-10T13:42
FM9375,Shanghai Airlines,Shanghai Hongqiao,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T13:54
GS7812,Tianjin Airlines,Tianshu Airport,Hohhot Baita,DEPARTURE,SMALL,2026-06-10T14:06
JD5903,Beijing Capital Airlines,Lijiang Sanyi,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T14:18
CA9816,Air China,Tianshu Airport,Beijing Daxing,DEPARTURE,MEDIUM,2026-06-10T14:30
MU2687,China Eastern,Ningbo Lishe,Tianshu Airport,ARRIVAL,MEDIUM,2026-06-10T14:42
CZ8129,China Southern,Tianshu Airport,Shenzhen Baoan,DEPARTURE,LARGE,2026-06-10T14:54
HU7432,Hainan Airlines,Urumqi Diwopu,Tianshu Airport,ARRIVAL,LARGE,2026-06-10T15:06
